clusters,Plot_Number,names,order
5,263,Tulip Poplar,3
5,264,Tulip Poplar,3
5,265,Tulip Poplar,3
4,266,Mixed,8
1,267,Oak Hickory,2
4,268,Mixed,8
7,269,Loblolly Pine,7
7,270,Loblolly Pine,7
7,271,Loblolly Pine,7
1,272,Oak Hickory,2
3,273,White Oak,1
1,274,Oak Hickory,2
3,275,White Oak,1
1,276,Oak Hickory,2
21,277,Sweetgum,4
3,278,White Oak,1
1,279,Oak Hickory,2
1,280,Oak Hickory,2
5,281,Tulip Poplar,3
5,282,Tulip Poplar,3
1,283,Oak Hickory,2
1,284,Oak Hickory,2
1,285,Oak Hickory,2
1,286,Oak Hickory,2
3,287,White Oak,1
1,288,Oak Hickory,2
6,289,Virginia Pine,6
21,290,Sweetgum,4
5,291,Tulip Poplar,3
5,292,Tulip Poplar,3
21,293,Sweetgum,4
21,294,Sweetgum,4
5,295,Tulip Poplar,3
21,296,Sweetgum,4
21,297,Sweetgum,4
5,298,Tulip Poplar,3
7,299,Loblolly Pine,7
21,300,Sweetgum,4
3,301,White Oak,1
7,302,Loblolly Pine,7
21,303,Sweetgum,4
3,304,White Oak,1
7,305,Loblolly Pine,7
7,306,Loblolly Pine,7
21,307,Sweetgum,4
3,308,White Oak,1
21,309,Sweetgum,4
5,310,Tulip Poplar,3
21,311,Sweetgum,4
1,312,Oak Hickory,2
5,313,Tulip Poplar,3
7,314,Loblolly Pine,7
3,315,White Oak,1
5,316,Tulip Poplar,3
1,317,Oak Hickory,2
1,318,Oak Hickory,2
1,319,Oak Hickory,2
5,5156,Tulip Poplar,3
5,5157,Tulip Poplar,3
4,5159,Mixed,8
7,5160,Loblolly Pine,7
5,5239,Tulip Poplar,3
5,5250,Tulip Poplar,3
