Appomattox River
Baptism Creek
Bloody Run
Boatswain Creek
Brock Run
Burnside Creek
Deep Run
French Creek
Gills Creek
Gravelly Brook
Harrison Creek
Hazel Run
Jack-O-Lantern Branch
Lewis Run
Plain Run
Plum Run
Rock Creek
Stevens Run
Totopotomy Creek
Trib. of Chickahominy River
Valley Creek
Western Run
Willoughby Run (Lower)
Willoughby Run (Upper)
